%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1576563409018246695,367673,1576563409018246695,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409049755073,367674,1576563409049755073,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409084777237,367675,1576563409084777237,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409117945866,367676,1576563409117945866,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409150248603,367677,1576563409150248603,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409185081131,367678,1576563409185081131,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409218610867,367679,1576563409218610867,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409250637644,367680,1576563409250637644,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409285558416,367681,1576563409285558416,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409318764946,367682,1576563409318764946,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409350970252,367683,1576563409350970252,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409387228683,367684,1576563409387228683,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409420180648,367685,1576563409420180648,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409451486111,367686,1576563409451486111,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409486847174,367687,1576563409486847174,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409520468151,367688,1576563409520468151,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409552839904,367689,1576563409552839904,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409586872898,367690,1576563409586872898,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409620853034,367691,1576563409620853034,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409653280051,367692,1576563409653280051,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409687379704,367693,1576563409687379704,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409721352578,367694,1576563409721352578,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409753034723,367695,1576563409753034723,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409786868822,367696,1576563409786868822,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409822078491,367697,1576563409822078491,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409854022813,367698,1576563409854022813,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409887270672,367699,1576563409887270672,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409921562915,367700,1576563409921562915,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409953977585,367701,1576563409953977585,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563409989260862,367702,1576563409989260862,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410021655224,367703,1576563410021655224,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410054408900,367704,1576563410054408900,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410089090507,367705,1576563410089090507,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410122201994,367706,1576563410122201994,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410155251520,367707,1576563410155251520,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410190012683,367708,1576563410190012683,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410222522456,367709,1576563410222522456,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410254954799,367710,1576563410254954799,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410289847552,367711,1576563410289847552,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410323075740,367712,1576563410323075740,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410356072490,367713,1576563410356072490,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410390458682,367714,1576563410390458682,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410423521243,367715,1576563410423521243,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410455691065,367716,1576563410455691065,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410489633990,367717,1576563410489633990,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410523819512,367718,1576563410523819512,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410557029643,367719,1576563410557029643,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410591261763,367720,1576563410591261763,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410624290406,367721,1576563410624290406,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410656660965,367722,1576563410656660965,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410691583495,367723,1576563410691583495,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410724952120,367724,1576563410724952120,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410757795767,367725,1576563410757795767,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410792030056,367726,1576563410792030056,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410825184298,367727,1576563410825184298,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410857353268,367728,1576563410857353268,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410891406637,367729,1576563410891406637,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410926168901,367730,1576563410926168901,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410958900381,367731,1576563410958900381,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563410992954550,367732,1576563410992954550,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411026126183,367733,1576563411026126183,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411058349297,367734,1576563411058349297,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411093318048,367735,1576563411093318048,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411126794849,367736,1576563411126794849,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563411159795475,367737,1576563411159795475,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
